壁番号,上流側（0側）室番号：第一種境界条件の場合、0とすること。,下流側（end側）室番号：第一種境界条件の場合、0とすること。,壁タイプ（0：単一構造＋自動分割、個別：cell_data内のファイルを参照する）,壁の分割数,材料名称,初期温度,初期相対湿度,壁の厚み,壁の面積,壁の向き（0：水平　90：垂直　その他：傾斜角の値を入力）,壁面方位（上流側）,壁面方位（下流側）,日射吸収率（上流側）,日射吸収率（下流側）,放射率（上流側）,放射率（下流側）,上流側対流熱伝達率,下流側対流熱伝達率,上流側放射熱伝達率,下流側放射熱伝達率,上流側湿気伝達率,下流側湿気伝達率,流入熱量（第二種境界条件用）,流入水蒸気量（第二種境界条件用）,流入液水量（第二種境界条件用）
-,-,-,-,-,-,℃,%,m,m2,°,-,-,-,-,-,-,W/m2K,W/m2K,W/m2K,W/m2K,kg/m2sPa,kg/m2sPa,W/m2,kg/m2,kg/m2
num,IP,IM,Type,div_num,material_name,temp,rh,thickness,area,ION,dir_IP,dir_IM,ar_IP,ar_IM,er_IP,er_IM,alphac_IP,alphac_IM,alphar_IP,alphar_IM,aldm_IP,aldm_IM,q,jv,jl
1,1,5,wall4,,,,,0.175,26.3,90,N,S,0,0,0,0,19,4.7,0,4.4,,,0,0,0
2,1,2,wall1,,,,,0.22,41.6,90,N,S,0,0,0,0,19,4.7,0,4.4,,,0,0,0
3,1,3,wall2_1,,,,,0.17,22.9,90,N,S,0,0,0,0,19,4.7,0,4.4,,,0,0,0
4,3,6,wall2_2,,,,,0.17,22.4,90,W,E,0,0,0,0,4.7,10,4.4,4.4,,,0,0,0
5,4,6,wall3,,,,,0.15,35.7,90,W,E,0,0,0,0,4.7,10,4.4,4.4,,,0,0,0
6,2,7,wall1,,,,,0.22,111.9,90,N,S,0,0,0,0,4.7,10,4.4,4.4,,,,,
7,5,7,wall4,,,,,0.175,11.6,90,E,W,0,0,0,0,4.7,10,4.4,4.4,,,,,
8,2,5,wall5,,,,,0.245,26.3,90,S,N,0,0,0,0,4.7,4.7,4.4,4.4,,,,,
9,2,5,wall5,,,,,0.245,11.6,90,E,W,0,0,0,0,4.7,4.7,4.4,4.4,,,0,0,0
10,2,3,wall1,,,,,0.22,22.4,90,W,E,0,0,0,0,4.7,4.7,4.4,4.4,,,0,0,0
11,2,4,wall1,,,,,0.22,12.8,90,W,E,0,0,0,0,4.7,4.7,4.4,4.4,,,0,0,0
12,3,4,wall3,,,,,0.15,22.9,90,N,S,0,0,0,0,4.7,4.7,4.4,4.4,,,0,0,0
13,1,6,wall3,,,,,0.15,69.6,90,E,W,0.9,0.9,0.9,0.9,19,10,0,4.4,,,0,0,0
14,1,6,wall3,,,,,0.15,29.9,90,S,N,0.9,0.9,0.9,0.9,19,10,0,4.4,,,,,
15,1,7,wall3,,,,,0.15,143.6,90,S,N,0,0,0,0,19,10,0,4.4,,,,,
16,2,8,ceiling1,,,,,0.865,141.3,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
17,3,8,ceiling1,,,,,0.865,24.5,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
18,4,8,ceiling2,,,,,0.155,14,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
19,5,8,ceiling1,,,,,0.865,11,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
20,2,9,floor1,,,,,0.37,141.3,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
21,3,9,floor1,,,,,0.37,24.5,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
22,4,9,floor2,,,,,0.155,14,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
23,5,9,floor3,,,,,0.185,11,0,N,N,0,0,0,0,4.7,10,4.4,4.4,,,,,
24,1,8,roof1,,,,,0.37,190.8,0,N,N,0.8,0.8,0.3,0.3,19,10,0,4.4,1.00E-30,,,,
25,0,9,ground,,,,,5,190.8,0,N,N,0,0,0,0,0,10,0,4.4,,,,,
26,-1,2,stored_item,,,,,0.05,440,0,N,N,0,0,0,0,0,4.7,0,4.4,,,0,0,0
